AssayNumber,Strain,TraitName,Replicate,Value
1,N2,Hatch_Time,8,0.86696
1,N2,Hatch_Time,9,0.88066
1,N2,Hatch_Time,10,0.89793
1,N2,Hatch_Time,12,1.7409
1,N2,Hatch_Time,13,0.87542
1,N2,Hatch_Time,14,0.85426
1,N2,Hatch_Time,15,0.88389
1,LKC34,Hatch_Time,1,0.86729
1,LKC34,Hatch_Time,2,0.87124
1,LKC34,Hatch_Time,3,0.8773
1,LKC34,Hatch_Time,4,0.97763
1,LKC34,Hatch_Time,8,0.87951
1,LKC34,Hatch_Time,9,0.91563
1,LKC34,Hatch_Time,10,0.89957
1,LKC34,Hatch_Time,11,0.91736
1,LKC34,Hatch_Time,12,0.91188
1,LKC34,Hatch_Time,14,0.99518
1,LKC34,Hatch_Time,15,0.91977
1,JT11398,Hatch_Time,2,1.0628
1,JT11398,Hatch_Time,9,0.86792
1,JT11398,Hatch_Time,10,0.85358
1,JT11398,Hatch_Time,11,0.84223
1,JT11398,Hatch_Time,12,0.83459
1,JT11398,Hatch_Time,13,0.82708
1,JT11398,Hatch_Time,14,0.87215
1,JT11398,Hatch_Time,15,0.83035
1,JT11398,Hatch_Time,16,0.83858
1,JU258,Hatch_Time,1,0.84541
1,JU258,Hatch_Time,2,0.83338
1,JU258,Hatch_Time,3,0.83992
1,JU258,Hatch_Time,4,0.84954
1,JU258,Hatch_Time,5,0.8671
1,JU258,Hatch_Time,6,0.83165
1,JU258,Hatch_Time,7,0.81838
1,JU258,Hatch_Time,8,0.85267
1,JU258,Hatch_Time,9,0.83011
1,JU258,Hatch_Time,10,0.81746
1,JU258,Hatch_Time,11,0.87316
1,JU258,Hatch_Time,12,0.87436
1,JU258,Hatch_Time,13,0.84781
1,JU258,Hatch_Time,14,0.81506
1,JU258,Hatch_Time,16,0.8455
2,CB4856,Hatch_Time,1,0.90466
2,CB4856,Hatch_Time,2,0.85251
2,CB4856,Hatch_Time,3,0.91476
2,CB4856,Hatch_Time,4,0.91657
2,CB4856,Hatch_Time,5,0.92281
2,CB4856,Hatch_Time,6,0.91804
2,CB4856,Hatch_Time,7,0.938
2,CB4856,Hatch_Time,8,1.0014
2,CB4856,Hatch_Time,9,0.94667
2,CB4856,Hatch_Time,10,0.97014
2,CB4856,Hatch_Time,11,0.92536
2,CB4856,Hatch_Time,12,0.974
2,CB4856,Hatch_Time,13,0.98539
2,CB4856,Hatch_Time,14,0.92774
2,CX11314,Hatch_Time,1,0.97099
2,CX11314,Hatch_Time,2,0.98993
2,CX11314,Hatch_Time,3,1.0065
2,CX11314,Hatch_Time,4,1.0337
2,CX11314,Hatch_Time,5,1.0086
2,CX11314,Hatch_Time,6,0.99866
2,CX11314,Hatch_Time,7,0.99129
2,CX11314,Hatch_Time,8,1.0238
2,CX11314,Hatch_Time,9,1.0418
2,CX11314,Hatch_Time,10,1.0158
2,CX11314,Hatch_Time,11,1.0479
2,CX11314,Hatch_Time,12,1.0369
2,CX11314,Hatch_Time,13,1.0341
2,CX11314,Hatch_Time,15,1.0413
2,MY16,Hatch_Time,1,0.941
2,MY16,Hatch_Time,3,0.94236
2,MY16,Hatch_Time,4,0.99854
2,MY16,Hatch_Time,5,0.99044
2,MY16,Hatch_Time,6,1.0474
2,MY16,Hatch_Time,7,0.99406
2,MY16,Hatch_Time,9,0.98369
2,MY16,Hatch_Time,10,0.98358
2,MY16,Hatch_Time,11,0.93919
2,MY16,Hatch_Time,12,0.95529
2,MY16,Hatch_Time,13,0.96697
2,MY23,Hatch_Time,1,0.91203
2,MY23,Hatch_Time,2,0.89639
2,MY23,Hatch_Time,4,0.95625
2,MY23,Hatch_Time,5,0.95002
2,MY23,Hatch_Time,6,0.97604
2,MY23,Hatch_Time,7,0.93409
2,MY23,Hatch_Time,9,0.8808
2,MY23,Hatch_Time,10,0.85489
2,MY23,Hatch_Time,11,0.89276
2,MY23,Hatch_Time,12,0.86685
2,MY23,Hatch_Time,14,0.88102
2,N2,Hatch_Time,16,0.96045
2,N2,Hatch_Time,17,1.0049
2,N2,Hatch_Time,18,0.99248
2,N2,Hatch_Time,19,1.0324
2,N2,Hatch_Time,20,1.0188
2,N2,Hatch_Time,21,1.0108
2,N2,Hatch_Time,22,0.99174
2,N2,Hatch_Time,23,1.011
2,N2,Hatch_Time,26,0.95149
2,N2,Hatch_Time,27,0.97303
2,N2,Hatch_Time,28,1.0758
2,N2,Hatch_Time,29,1.0064
2,N2,Hatch_Time,30,0.97071
3,EG4725,Hatch_Time,1,0.90677
3,EG4725,Hatch_Time,3,0.98311
3,EG4725,Hatch_Time,4,0.90932
3,EG4725,Hatch_Time,5,0.94426
3,EG4725,Hatch_Time,6,0.95179
3,EG4725,Hatch_Time,9,0.97601
3,EG4725,Hatch_Time,10,0.93196
3,EG4725,Hatch_Time,11,0.9642
3,EG4725,Hatch_Time,12,0.96452
3,EG4725,Hatch_Time,13,0.94231
3,EG4725,Hatch_Time,14,0.95401
3,EG4725,Hatch_Time,15,0.94562
3,EG4725,Hatch_Time,16,0.9545
3,DL238,Hatch_Time,9,1.0707
3,DL238,Hatch_Time,10,1.0365
3,DL238,Hatch_Time,11,1.0165
3,DL238,Hatch_Time,12,1.0175
3,DL238,Hatch_Time,13,1.1804
3,DL238,Hatch_Time,14,1.0113
3,DL238,Hatch_Time,15,1.0633
3,DL238,Hatch_Time,16,1.0209
3,N2,Hatch_Time,31,0.96019
3,N2,Hatch_Time,32,1.0018
3,N2,Hatch_Time,33,1.0081
3,N2,Hatch_Time,34,1.0085
3,N2,Hatch_Time,35,1.0183
3,N2,Hatch_Time,36,0.99519
3,N2,Hatch_Time,37,1.0032
3,N2,Hatch_Time,38,1.0518
3,N2,Hatch_Time,39,1.0284
3,N2,Hatch_Time,40,0.98641
3,N2,Hatch_Time,41,0.97151
3,N2,Hatch_Time,42,1.0048
3,N2,Hatch_Time,43,0.98062
3,N2,Hatch_Time,44,1.0004
3,N2,Hatch_Time,46,0.98089
3,CX11314,Hatch_Time,16,0.97904
3,CX11314,Hatch_Time,17,0.98419
3,CX11314,Hatch_Time,18,1.0435
3,CX11314,Hatch_Time,21,0.97921
3,CX11314,Hatch_Time,22,0.96062
3,CX11314,Hatch_Time,23,0.99313
